id,ABEV3,AZUL4,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRDT3,BRFS3,BRKM5,BRML3,BTOW3,CCRO3,CIEL3,CMIG4,COGN3,CPFE3,CRFB3,CSAN3,CSNA3,CVCB3,CYRE3,ECOR3,EGIE3,ELET3,ELET6,EMBR3,ENBR3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GNDI3,GOAU4,GOLL4,HAPV3,HGTX3,HYPE3,IGTA3,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,NTCO3,PCAR3,PETR3,PETR4,PRIO3,QUAL3,RADL3,RAIL3,RENT3,SANB11,SBSP3,SULA11,SUZB3,TAEE11,TIMS3,TOTS3,UGPA3,USIM5,VALE3,VIVT3,VVAR3,WEGE3,YDUQ3,Ibovespa,IBOV
165,13,3,11,29,5,41,26,10,12,6,6,34,8,4,9,14,60,17,0,0,1,1,32,6,1,24,34,17,9,24,20,1,4,5,44,13,2,12,7,1,1,2,1,4,21,37,19,10,14,5,14,7,1,1,0,0,4,14,1,1,13,60,23,14,21,2,63,21,0,2,2,5,14,0,10,1,0,12,2
166,12,5,9,28,3,37,24,13,11,3,7,24,43,1,4,6,56,15,0,2,2,3,18,5,1,17,35,18,10,19,21,1,5,12,38,10,2,10,9,1,2,2,0,5,17,31,19,9,13,6,14,8,7,1,0,0,4,16,1,1,22,45,24,3,23,9,84,21,0,4,2,8,13,0,15,1,0,12,2
167,11,4,10,23,3,29,19,13,5,2,9,23,23,4,7,9,54,16,0,5,1,2,28,6,3,15,38,16,6,16,19,4,8,6,33,15,1,14,7,5,1,2,0,4,19,31,11,6,14,4,20,7,6,0,0,0,3,15,1,1,21,35,17,8,8,8,76,18,0,2,2,8,12,0,14,1,0,12,2
168,12,3,19,19,3,32,20,21,9,4,3,11,12,2,8,6,37,11,0,1,3,1,15,2,2,13,21,14,6,18,16,1,8,12,33,9,3,12,7,1,1,1,0,3,14,23,8,4,11,3,14,5,4,0,0,0,4,13,1,1,17,33,24,9,15,6,55,17,0,5,1,4,11,0,9,1,0,12,2
169,10,3,18,19,3,41,19,15,5,4,6,17,13,3,10,12,44,15,0,1,1,2,17,7,2,8,28,12,10,15,20,4,4,6,25,10,1,11,3,2,1,2,0,3,18,28,10,6,13,4,10,6,4,1,0,0,5,13,1,1,12,31,20,7,11,7,63,16,0,3,2,6,9,0,9,1,0,14,3
170,9,4,11,20,2,37,23,16,9,6,11,28,13,3,11,6,55,19,0,4,2,3,17,6,5,18,28,12,4,17,26,2,5,11,38,12,1,9,10,1,1,2,0,4,13,26,14,5,14,5,12,8,5,0,0,0,4,15,1,1,14,36,8,7,14,15,80,22,0,9,3,7,14,0,21,1,0,15,2
171,16,4,14,27,3,32,17,13,10,8,8,18,10,2,14,7,45,15,0,4,2,1,13,6,6,15,10,11,5,17,12,1,4,10,33,11,2,11,6,1,1,1,0,5,15,33,11,7,12,9,26,5,5,1,0,0,4,13,1,1,12,38,21,15,21,5,71,23,0,6,1,5,10,0,24,1,0,17,3
172,14,2,11,25,3,34,21,14,9,9,10,14,5,3,11,10,52,15,0,1,2,1,13,5,2,11,22,19,11,20,20,1,3,14,32,12,3,14,5,3,1,2,0,7,13,24,11,5,13,7,39,4,3,0,0,0,4,13,1,0,10,29,17,9,14,5,89,19,0,3,2,4,11,0,23,1,0,13,2
173,22,3,11,19,8,68,25,20,8,4,29,16,7,1,12,8,97,14,0,5,2,3,12,7,4,14,18,18,7,15,24,5,5,8,28,14,1,13,5,2,1,1,0,5,14,27,13,8,7,4,25,3,7,0,0,0,4,11,1,1,10,34,10,12,9,1,76,15,0,6,4,6,8,1,16,1,0,12,2
174,14,3,12,23,5,62,19,13,11,4,10,14,9,5,7,13,57,14,0,2,2,4,13,12,4,8,23,16,18,6,23,3,4,6,28,16,3,13,8,2,1,2,0,4,17,55,8,6,16,11,53,4,3,1,0,0,4,15,1,1,13,43,18,9,8,4,85,21,0,4,2,6,11,0,21,1,0,12,2
